"","target_id","test_stat","pval","qval","rss","sigma_sq","tech_var","mean_obs","var_obs","sigma_sq_pmax","smooth_sigma_sq","final_sigma_sq","degrees_free","ens_gene","ext_gene","coef","singlecoef"
"2845","ENST00000532025",10.9560085045901,0.000933005780848931,0.0198816704162167,30.315745616413,4.15358928532321,0.899034984078952,1.82451297725432,4.50739596994125,4.15358928532321,0.951712475005927,4.15358928532321,1,"ENSG00000185627","PSMD13",0.786138083664621,3.44637866329004
"2846","ENST00000532063",10.2601491822271,0.00135934687274031,0.025896028107173,46.1993725102018,4.46343123057991,3.23646418778706,1.61990070453777,6.62630095520359,4.46343123057991,1.03705782079363,4.46343123057991,1,"ENSG00000166333","ILK",-0.303919542168109,4.62607861082578
"2847","ENST00000532317",10.8790468122964,0.000972582874023536,0.0204800171973121,0.490433190975145,0.0567254992329492,0.025013365929575,5.94790255191022,0.0700627757758401,0.0567254992329492,0.00982862477624331,0.0567254992329492,1,"ENSG00000073921","PICALM",-0.0017662751394891,0.437846438325499
"2848","ENST00000532359",27.8562231609599,1.30673092406177e-07,7.71111252081168e-05,4.83908943084774,0.787325745419783,0.0191891597215074,5.13484513281764,0.6915016735803,0.787325745419783,0.0178145938673953,0.787325745419783,1,"ENSG00000166441","RPL27A",-0.0266672478366647,1.53274263674465
"2849","ENST00000532383",9.58433562098434,0.00196244437958868,0.0332903588244839,0.13639791853307,0.0186733152282057,0.00405967119397261,6.08597804588058,0.06261204453807,0.0186733152282057,0.00914055564180481,0.0186733152282057,1,"ENSG00000110321","EIF4G2",0.388514088054359,0.220826060795166
"2850","ENST00000532414",12.733068103476,0.000359246719830131,0.0102341957788849,0.00810484922245415,0.00068070628581344,0.000670101917928918,7.41129332941462,0.00213304105679163,0.00068070628581344,0.00760585663525959,0.00760585663525959,1,"ENSG00000254726","MEX3A",-0.0584227617247202,-0.0500220693773861
"2851","ENST00000532415",15.672259417422,7.53208300476685e-05,0.00370778319231785,39.2235958626964,6.07508104184176,0.462184935274302,2.03530388172144,5.67949584081773,6.07508104184176,0.857275343757036,6.07508104184176,1,"ENSG00000254681","PKD1P5",-0.516175853284397,-4.1462028926246
"2852","ENST00000532425",10.2716892160886,0.0013508706387876,0.0257940318544156,0.175638102180385,0.0233927082728096,0.00588030875725454,5.20998502893171,0.0489963963266745,0.0233927082728096,0.0166367029842008,0.0233927082728096,1,"ENSG00000086848","ALG9",-0.289254794347765,0.269755309325857
"2853","ENST00000532485",10.1428512661848,0.00144861921947661,0.0270496031200742,0.192526336503396,0.0263918136902683,0.00569590906029765,5.32422475586602,0.0507680716845871,0.0263918136902683,0.0150830750482185,0.0263918136902683,1,"ENSG00000078124","ACER3",-0.285350806279494,0.269446837468845
"2854","ENST00000532502",9.6090640791555,0.00193619296644363,0.0330151871873562,0.37369316528018,0.052611420982096,0.00967077323126734,5.64562278192632,0.11725788298505,0.052611420982096,0.011855130365882,0.052611420982096,1,"ENSG00000197601","FAR1",0.472817097626116,0.365738740330405
